material,trial_id,items_used
Apple,770,7
Apple,771,11
Apple,772,8
Apple,773,10
Apple,774,8
Apple,775,12
Apple,776,8
Apple,777,14
Apple,778,10
Apple,779,8
Apple,780,10
Apple,781,16
Apple,782,9
Apple,783,9
Apple,784,9
Apple,785,12
Apple,786,10
Apple,787,10
Apple,788,8
Apple,789,12
Apple,790,8
Apple,791,10
Apple,792,8
Apple,793,10
Apple,794,11
Apple,795,13
Apple,796,11
Apple,797,11
Apple,798,11
Apple,799,10
Apple,800,9
Apple,801,14
Apple,802,8
Apple,803,11
Apple,804,11
Apple,805,7
Apple,806,8
Apple,807,12
Apple,808,11
Apple,809,13
Apple,810,9
Apple,811,9
Apple,812,11
Apple,813,10
Apple,814,9
Apple,815,12
Apple,816,9
Apple,817,10
Apple,818,10
Apple,819,7
Apple,820,12
Apple,821,12
Apple,822,13
Apple,823,10
Apple,824,8
Apple,825,14
Apple,826,10
Apple,827,9
Apple,828,9
Apple,829,8
Apple,830,7
Apple,831,14
Apple,832,9
Apple,833,13
Apple,834,9
Apple,835,13
Apple,836,8
Apple,837,8
Apple,838,12
Apple,839,12
Apple,840,7
Apple,841,10
Apple,842,13
Apple,843,12
Apple,844,12
Apple,845,8
Apple,846,9
Apple,847,10
Apple,848,8
Apple,849,9
Apple,850,8
Apple,851,9
Apple,852,10
Apple,853,8
Apple,854,7
Apple,855,13
Apple,856,8
Apple,857,13
Apple,858,16
Apple,859,9
Apple,860,21
Apple,861,12
Apple,862,8
Apple,863,11
Apple,864,11
Apple,865,10
Apple,866,12
Apple,867,9
Apple,868,9
Apple,869,12
Apple,870,12
Apple,871,12
Apple,872,9
Apple,873,9
Apple,874,10
Apple,875,11
Apple,876,7
Apple,877,10
Apple,878,9
Apple,879,13
Apple,880,12
Apple,881,8
Apple,882,8
Apple,883,7
Apple,884,8
Apple,885,10
Apple,886,11
Apple,887,14
Apple,888,7
Apple,889,10
Apple,890,13
Apple,891,13
Apple,892,13
Apple,893,12
Apple,894,10
Apple,895,11
Apple,896,12
Apple,897,11
Apple,898,16
Apple,899,10
Apple,900,8
Apple,901,10
Apple,902,11
Apple,903,9
Apple,904,8
Apple,905,15
Apple,906,13
Apple,907,10
Apple,908,11
Apple,909,10
Apple,910,10
Apple,911,8
Apple,912,12
Apple,913,9
Apple,914,9
Apple,915,9
Apple,916,11
Apple,917,9
Apple,918,10
Apple,919,12
Apple,920,10
Apple,921,11
Apple,922,9
Apple,923,8
Apple,924,11
Apple,925,10
Apple,926,12
Apple,927,8
Apple,928,10
Apple,929,8
Apple,930,10
Apple,931,10
Apple,932,13
Apple,933,10
Apple,934,9
Apple,935,10
Apple,936,10
Apple,937,12
Apple,938,14
Apple,939,9
Apple,940,13
Apple,941,8
Apple,942,10
Apple,943,11
Apple,944,10
Apple,945,12
Apple,946,9
Apple,947,8
Apple,948,8
Apple,949,11
Apple,950,9
Apple,951,8
Apple,952,12
Apple,953,14
Apple,954,10
Apple,955,12
Apple,956,10
Apple,957,10
Apple,958,12
Apple,959,10
Apple,960,11
Apple,961,8
Apple,962,12
Apple,963,8
Apple,964,12
Apple,965,16
Apple,966,9
Apple,967,10
Apple,968,9
Apple,969,8
Apple,970,10
Apple,971,10
Apple,972,11
Apple,973,10
Apple,974,8
Apple,975,10
